Language	lengua 	boca	labio	diente	nariz	ojo	oreja	cabeza	frente	cabello	frente	cabello	mandibula	barba	cuello	pecho	teta	vientre	espalda	hombro	brazo	brazo superior	codo 	mano	dedo de mano	una humana	pierna	muslo	rodilla	espinilla	pie	dedo de pie	piel 	hueso	sangre	corazón	pulmones	pene	vulva	hombre	varón	mujer	gente	marido	esposa	papá	mamá	criatura	viejo	agua	río	isla	lago	pantano	fuente	caída de agua	catarata	candela	ceniza	carbón	humo	leña	cielo	lluvia	viento	sol	luna	estrella	día	noche	trueno	relámpago	arco iris	tierra	piedra	arena	casa	techo	puerta	banco	estera	hamaca	cama	olla	roza	caserío	camino	red	anzuelo	hacha	cuchillo	canoa	remo	porra
Cofán	me'ⁿdzaⁿdzaʔp̵a			'tʰɛʔtʰo	'tsop̵aʔtʰï	"'tsoʔp̵ɛ
"																																																																																								
Colorado	nih'kaka	"p̵i̥h'kip̵ořo
"	do'ni	te̥h'p̵u̧ŋ	"'ki̧mp̵u
"																																																																																									
Chachi	'ñixka	'p̵iʔ'paki	p̵iʔpa'kika	'tɛxku	'kix'kapa																																																																																									
Huaorani	i̵̧ni̵̧ŋι̧'nι̧wa	i̵̧ni̵̧ŋι̧	i̵̧ni̵̧ŋι'tai	'bag̵a	i̵̧ni̵̧ŋkaďi̵̧																																																																																									
Quichua del Napo	'kalʸʋ	'šimi	'šimi	'kiřʋ	'siŋga																																																																																									
Quichua de Chimborazo	k'ʰažu	'šimi	'šimi 'xita	'kiřu	'siŋga																																																																																									
Secoya	sæmæ'yo	yiↄ'pↄ	yiↄ'ka̧ʔni	ko̧ʔ'hi̧	o̧ʰ'kʷæpi̵																																																																																									
Shuar	i'ñȩi̧	wi̵nu	'wi̵nu	nȩi̧	'nu̧hi̧																																																																																									
Achuar	I'n ʸɛι	haŋkι̵	'wι̵nι̵	'nai	'nuhi																																																																																									
Zaparo	řiřikiæ	ʔato'pama	ʔi'yætsaokʷi̵	ʔiki'æři̵	naḩokʷa 																																																																																									
